Element,Transition,Theoretical_eV,Experimental_eV
Ge,L 3 M 2,1092.7,
Ge,L 3 M 3,1097.4,
Ge,L 3 M 4,1187.91,1188.01
Ge,L 3 M 5,1188.66,1188.01
Ge,L 3 N 1,1212.05,
Ge,L 3 N 2,1219.17,
Ge,L 3 edge,1227.15,1217.06
As,KL 1,10336.70,
As,KL 2,10507.84,10507.50
As,KL 3,10543.48,10543.2674
As,KM 1,11663.0,
As,KM 2,11721.6,11719.86
As,KM 3,11727.1,11725.73
As,KM 4,11825.05,11821.4
As,KM 5,11825.89,11821.4
As,KN 1,11858.67,
As,KN 2,11867.94,11864.34
As,KN 3,11866.38,11864.34
As,K edge,11876.74,11864.3
As,L 1 M 1,1326.3,
As,L 1 M 2,1384.9,1388.54
As,L 1 M 3,1390.4,1388.54
As,L 1 M 4,1488.3,
As,L 1 M 5,1489.2,
As,L 1 N 1,1522.0,
As,L 1 N 2,1531.2,
As,L 1 N 3,1529.68,
As,L 1 edge,1540.04,1529.32
As,L 2 M 1,1155.2,1155.04
As,L 2 M 2,1213.8,
As,L 2 M 3,1219.3,
As,L 2 M 4,1317.21,1316.99
As,L 2 M 5,1318.06,
As,L 2 N 1,1350.84,
As,L 2 N 2,1360.10,
As,L 2 N 3,1358.54,
As,L 2 edge,1368.90,1358.71
As,L 3 M 1,1119.5,1119.78
As,L 3 M 2,1178.1,
As,L 3 M 3,1183.7,
As,L 3 M 4,1281.56,1282.01
As,L 3 M 5,1282.41,1282.01
As,L 3 N 1,1315.19,
As,L 3 N 2,1324.46,
As,L 3 N 3,1322.90,
As,L 3 edge,1333.26,1323.61
Se,KL 1,11003.49,
Se,KL 2,11181.82,11181.53
Se,KL 3,11222.55,11222.52
Se,KM 1,12427.9,
Se,KM 2,12490.3,12489.73
Se,KM 3,12496.5,12496.03
Se,KM 4,12601.47,12596.0
Se,KM 5,12602.42,12596.0
Se,KN 1,12645.7,
Se,KN 2,12656.38,12652.29
Se,KN 3,12655.11,12652.29
Se,K edge,12666.72,12654.61
Se,L 1 M 1,1424.4,
Se,L 1 M 2,1486.8,1490.0
Se,L 1 M 3,1493.0,1490.0
Se,L 1 M 4,1598.0,
Se,L 1 M 5,1598.9,
Se,L 1 N 1,1642.2,
Se,L 1 N 2,1652.9,
Se,L 1 N 3,1651.62,
Se,L 1 edge,1663.23,1652.44
Se,L 2 M 1,1246.0,1244.55
Se,L 2 M 2,1308.4,
Se,L 2 M 3,1314.7,
Se,L 2 M 4,1419.65,1419.24
Se,L 2 M 5,1420.60,
Se,L 2 N 1,1463.9,
Se,L 2 N 2,1474.55,
Se,L 2 N 3,1473.29,
Se,L 2 edge,1484.90,1474.75
Se,L 3 M 1,1205.3,1204.41
Se,L 3 M 2,1267.7,
Se,L 3 M 3,1273.9,
Se,L 3 M 4,1378.92,1379.11
Se,L 3 M 5,1379.88,1379.11
Se,L 3 N 1,1423.1,
Se,L 3 N 2,1433.83,
Se,L 3 N 3,1432.57,
Se,L 3 edge,1444.18,1433.98
Br,KL 1,11692.04,
Br,KL 2,11877.69,11877.75
Br,KL 3,11924.02,11924.36
Br,KM 1,13218.6,
Br,KM 2,13284.8,13284.7
Br,KM 3,13292.1,13291.56
Br,KM 4,13403.97,13396.3
Br,KM 5,13405.04,13396.3
Br,KN 1,13459.8,
Br,KN 2,13471.50,13469.60
Br,KN 3,13470.84,13469.60
Br,K edge,13483.86,13470.5
Br,L 1 M 1,1526.5,
Br,L 1 M 2,1592.8,1596.3
